"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"916","91764","2022","CA","San Bernardino County","Ontario",9,503130.92,26020.8,0.14171775171361
"917","38117","2022","TN","Shelby County","Memphis",8.4,271024.2816,15640.8,0.141709958339024
"918","77573","2022","TX","Galveston County","League City",9.3,332309.162,16149.6,0.141598118399155
"919","85018","2022","AZ","Maricopa County","Phoenix",11.9,797867.3658,18021.6,0.1415872128282
"920","80601","2022","CO","Adams County","Brighton",9.7,472751.9306,21050.4,0.141527369720698
"921","60172","2022","IL","DuPage County","Roselle",7.9,307270.33675,19197,0.141475929837702
"922","33071","2022","FL","Broward County","Coral Springs",9.6,470550.064,21396,0.141470188268851
"923","27606","2022","NC","Wake County","Raleigh",9.8,356454.2808,15494.4,0.141468127147261
"924","92833","2022","CA","Orange County","Fullerton",10.4,793059.0624,29666.4,0.141407554375864
"925","19720","2022","DE","New Castle County","New Castle",7.7,236079.6924,15172.8,0.141269822811748
"926","75034","2022","TX","Collin County","Frisco",10.6,564959.178,19845.6,0.141127493760266
"927","92694","2022","CA","Orange County","Ladera Ranch",10.8,991184.8896,32731.2,0.141022295177652
"928","33174","2022","FL","Miami-Dade County","Fountainbleau",7.6,345541.0448,22466.4,0.141018035738717
"929","55378","2022","MN","Scott County","Savage",9.1,407825.4008,20397.6,0.141015521249995
"930","28277","2022","NC","Mecklenburg County","Charlotte",9.5,450666.96,20716.8,0.140969200848449
"931","33125","2022","FL","Miami-Dade County","Miami",8,369232.992,22500,0.140937133158458
"932","55106","2022","MN","Ramsey County","Saint Paul",7.9,244254.9564,15127.2,0.140932008352892
"933","30032","2022","GA","Dekalb County","Candler-Mcafee",6.5,237323.535,18019.2,0.140926730149203
"934","80920","2022","CO","El Paso County","Colorado Springs",9.6,487484.7984,21897.6,0.140919554562258
"935","77381","2022","TX","Montgomery County","The Woodlands",9.2,422344.5408,20628,0.140841639958046
"936","92111","2022","CA","San Diego County","San Diego",10.5,832674.739,29829.6,0.140823832047342
"937","98498","2022","WA","Pierce County","Lakewood",10.1,474128.6946,18859.2,0.140776542138861
"938","77063","2022","TX","Harris County","Houston",8.3,237047.04,13687.2,0.140740438353501
"939","98146","2022","WA","King County","Burien",10.6,629798.428,21872,0.140728571916982
"940","29681","2022","SC","Greenville County","Simpsonville",7.9,307120.3018,18957.6,0.140726951585068
"941","98391","2022","WA","Pierce County","Bonney Lake",9.8,572563.7388,24460.8,0.140721531844238
"942","30009","2022","GA","Fulton County","Alpharetta",8.7,503594.7082,27050.4,0.140714623206996
"943","85255","2022","AZ","Maricopa County","Scottsdale",11.8,982000.89,22276.8,0.140685111823066
"944","01752","2022","MA","Middlesex County","Marlborough",9.3,474978.0148,22646.4,0.140678838376416
"945","27455","2022","NC","Guilford County","Greensboro",8.7,293554.3504,15741.6,0.140624141418958
"946","91387","2022","CA","Los Angeles County","Santa Clarita",9.8,719658.846,30672,0.140620194513665
"947","98661","2022","WA","Clark County","Vancouver",9.9,421341.214,17532,0.140609981215842
"948","29045","2022","SC","Kershaw County","Elgin",8,241396.632,14628,0.140597365749494
"949","22408","2022","VA","Spotsylvania County","Fredericksburg",8.7,359245.891,19252.8,0.140592262242465
"950","92029","2022","CA","San Diego County","Escondido",11.6,962854.668,23637.6,0.140549499302007
"951","34747","2022","FL","Osceola County","Citrus Ridge",8.3,338763.9162,19492.8,0.140540957191237
"952","92688","2022","CA","Orange County","Rancho Santa Margarita",10.7,815678.3376,27295.2,0.140463190993047
"953","80919","2022","CO","El Paso County","Colorado Springs",10.1,556320.5466,21904.8,0.140374422055545
"954","98056","2022","WA","King County","Renton",10.9,736725.335,23102.4,0.14035822660422
"955","21220","2022","MD","Baltimore County","Middle River",7.1,273818.5002,18976.8,0.140304301886612
"956","78258","2022","TX","Bexar County","San Antonio",10.2,430401.9688,16473.6,0.140274917853954
"957","23803","2022","VA","Petersburg City","Petersburg",6.9,144398.8096,10284,0.140219423681454
